


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.1.6     Platform:  V1.0.4 (b3)     Uptime:    0.000 s
Compiled:   Mar 13 2019 08:03:52     Directory:  7842F-Competition-Code


"Target","RPM","Power","D"
"0.000000","-13152.492165","44.400000","-2367.448590"
"0.000000","-11179.618340","45.200000","-2012.331301"
"0.000000","-9502.675589","46.000000","-1710.481606"
"0.000000","-8077.274251","46.800000","-1453.909365"
"0.000000","-6865.683113","47.600000","-1235.822960"
"0.000000","-5835.830646","48.400000","-1050.449516"
"0.000000","-4960.456049","49.200000","-892.882089"
"0.000000","-4216.387642","50.000000","-758.949776"
"0.000000","-3583.929496","50.800000","-645.107309"
"0.000000","-3046.340071","51.600000","-548.341213"
"0.000000","-2589.389061","52.400000","-466.090031"
"0.000000","-2200.980701","53.200000","-396.176526"
"0.000000","-1870.833596","54.000000","-336.750047"
"0.000000","-1590.208557","54.800000","-286.237540"
"0.000000","-1351.677273","55.600000","-243.301909"
"0.000000","-1148.925682","56.400000","-206.806623"
"0.000000","-976.586830","55.600000","-175.785629"
"0.000000","-830.098805","54.800000","-149.417785"
"0.000000","-705.583985","54.000000","-127.005117"
"0.000000","-599.746387","53.200000","-107.954350"
"0.000000","-509.784429","52.400000","-91.761197"
"0.000000","-433.316765","51.600000","-77.997018"
"0.000000","-368.319250","50.800000","-66.297465"
"0.000000","-313.071362","50.000000","-56.352845"
"0.000000","-266.110658","49.200000","-47.899918"
"0.000000","-226.194059","48.400000","-40.714931"
"0.000000","-192.264950","47.600000","-34.607691"
"0.000000","-163.425208","46.800000","-29.416537"
"0.000000","-138.911427","46.000000","-25.004057"
"0.000000","-118.074713","45.200000","-21.253448"
"0.000000","-100.363506","44.400000","-18.065431"
"0.000000","-85.308980","43.600000","-15.355616"
"0.000000","-72.512633","42.800000","-13.052274"
"0.000000","-61.635738","42.000000","-11.094433"
"0.000000","-52.390377","41.200000","-9.430268"
"0.000000","-44.531821","40.400000","-8.015728"
"0.000000","-37.852048","39.600000","-6.813369"
"0.000000","-32.174240","38.800000","-5.791363"
"0.000000","-27.348104","38.000000","-4.922659"
"0.000000","-23.245889","37.200000","-4.184260"
"0.000000","-19.759005","36.400000","-3.556621"
"0.000000","-16.795155","35.600000","-3.023128"
"0.000000","-14.275881","34.800000","-2.569659"
"0.000000","-12.134499","34.000000","-2.184210"
"0.000000","-10.314324","33.200000","-1.856578"
"0.000000","-8.767176","32.400000","-1.578092"
"0.000000","-7.452099","31.600000","-1.341378"
"0.000000","-6.334284","30.800000","-1.140171"
"0.000000","-5.384142","30.000000","-0.969146"
"0.000000","-4.576520","29.200000","-0.823774"
"0.000000","-3.890042","28.400000","-0.700208"
"0.000000","-3.306536","27.600000","-0.595176"
"0.000000","-2.810556","26.800000","-0.505900"
"0.000000","-2.388972","26.000000","-0.430015"
