"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"1546","0.000000","-621554.772356","1250.000000","22.400000","-1133209.659350"
"1556","0.000000","-528319.681502","0.000000","22.800000","-981155.800162"
"1566","0.000000","-449069.854277","0.000000","23.200000","-848324.501910"
"1576","0.000000","-381707.032385","1250.000000","23.600000","-732549.859041"
"1586","0.000000","-324448.633778","0.000000","24.000000","-631846.606119"
"1596","0.000000","-275778.526211","1250.000000","24.400000","-544413.370949"
"1606","0.000000","-234408.934779","0.000000","24.800000","-468626.369904"
"1616","0.000000","-199244.313312","1250.000000","25.200000","-403032.793097"
"1626","0.000000","-169354.385066","0.000000","25.600000","-346338.177075"
"1636","0.000000","-143947.477306","1250.000000","26.000000","-297396.067868"
"1646","0.000000","-122351.605710","0.000000","26.400000","-255193.551571"
"1656","0.000000","-103995.114853","0.000000","26.800000","-218840.033942"
"1666","0.000000","-88392.097625","0.000000","27.200000","-187554.440936"
"1676","0.000000","-75129.532982","0.000000","27.600000","-160653.604464"
"1686","0.000000","-63855.884284","1250.000000","28.000000","-137541.802529"
"1696","0.000000","-54273.282892","0.000000","28.400000","-117699.523137"
"1706","0.000000","-46127.602958","1250.000000","28.800000","-100676.162457"
"1716","0.000000","-39203.775014","-0.000000","29.200000","-86079.992320"
"1726","0.000000","-33318.052512","1250.000000","29.600000","-73572.571858"
"1736","0.000000","-28315.188385","0.000000","30.000000","-62860.348788"
"1746","0.000000","-24062.285127","1250.000000","30.400000","-53690.601637"
"1756","0.000000","-20446.848608","1250.000000","30.800000","-45844.830525"
"1766","0.000000","-17374.196317","-1250.000000","31.200000","-39133.986253"
"1776","0.000000","-14761.504370","2500.000000","31.600000","-33397.342560"
"1786","0.000000","-12540.716214","0.000000","32.000000","-28494.504572"
