"Time","Target/4","Rpm/4","Accel(m/s)","Power","D"
"2926","75.000000","0.000000","0.000000","12.800000","2.343750"
"2936","75.000000","0.000000","0.000000","13.200000","1.171875"
"2946","75.000000","0.000000","0.000000","13.600000","0.585938"
"2956","75.000000","0.000000","0.000000","14.000000","0.292969"
"2966","75.000000","0.000000","0.000000","14.400000","0.146484"
"2976","75.000000","0.000000","0.000000","14.800000","0.073242"
"2986","75.000000","0.000000","0.000000","15.200000","0.036621"
"2996","75.000000","0.000000","0.000000","15.600000","0.018311"
"3006","75.000000","0.000000","0.000000","16.000000","0.009155"
"3016","75.000000","0.000000","0.000000","16.400000","0.004578"
"3026","75.000000","0.000000","0.000000","16.800000","0.002289"
"3036","75.000000","0.000000","0.000000","17.200000","0.001144"
"3046","75.000000","0.000000","0.000000","17.600000","0.000572"
"3056","75.000000","0.000000","0.000000","18.000000","0.000286"
"3066","75.000000","0.000000","0.000000","18.400000","0.000143"
"3076","75.000000","0.000000","0.000000","18.800000","0.000072"
"3086","75.000000","0.000000","0.000000","19.200000","0.000036"
"3096","75.000000","0.000000","0.000000","19.600000","0.000018"
"3106","75.000000","0.000000","0.000000","20.000000","0.000009"
"3116","75.000000","0.000000","0.000000","20.400000","0.000004"
"3126","75.000000","0.000000","0.000000","20.800000","0.000002"
"3136","75.000000","0.000000","0.000000","21.200000","0.000001"
"3146","75.000000","0.000000","0.000000","21.600000","0.000001"
"3156","75.000000","0.000000","0.000000","22.000000","0.000000"
"3166","75.000000","0.000000","0.000000","22.400000","0.000000"
"3176","75.000000","0.000000","0.000000","22.800000","0.000000"
"3186","75.000000","0.000000","0.000000","23.200000","0.000000"
"3196","75.000000","0.000000","0.000000","23.600000","0.000000"
"3206","75.000000","0.000000","0.000000","24.000000","0.000000"
"3216","75.000000","0.000000","0.000000","24.400000","0.000000"
"3226","75.000000","0.000000","0.000000","24.800000","0.000000"
"3236","75.000000","0.000000","0.000000","25.200000","0.000000"
"3246","75.000000","0.000000","0.000000","25.600000","0.000000"
"3256","75.000000","0.000000","0.000000","26.000000","0.000000"
"3266","75.000000","0.000000","0.000000","26.400000","0.000000"
"3276","75.000000","0.000000","0.000000","26.800000","0.000000"
"3286","75.000000","0.000000","0.000000","27.200000","0.000000"
"3296","75.000000","0.000000","0.000000","27.600000","0.000000"
"3306","75.000000","0.000000","0.000000","28.000000","0.000000"
"3316","75.000000","0.000000","0.000000","28.400000","0.000000"
"3326","75.000000","0.000000","0.000000","28.800000","0.000000"
"3336","75.000000","0.000000","0.000000","29.200000","0.000000"
"3346","75.000000","0.000000","0.000000","29.600000","0.000000"
"3356","75.000000","0.000000","0.000000","30.000000","0.000000"
"3366","75.000000","0.000000","0.000000","30.400000","0.000000"
"3376","75.000000","0.000000","0.000000","30.800000","0.000000"
"3386","75.000000","0.000000","0.000000","31.200000","0.000000"
"3396","75.000000","0.000000","0.000000","31.600000","0.000000"
"3406","75.000000","0.000000","0.000000","32.000000","0.000000"
"3416","75.000000","0.000000","0.000000","32.400000","0.000000"
"3426","75.000000","0.000000","0.000000","32.800000","0.000000"
"3436","75.000000","0.000000","0.000000","33.200000","0.000000"
